instance_id,city_id,city_name,x,y
1,1,A,12,45
1,2,B,67,23
1,3,C,34,78
1,4,D,89,56
1,5,E,23,12
1,6,F,56,90
1,7,G,78,34
1,8,H,11,67
1,9,I,45,89
1,10,J,90,11
1,11,K,33,55
1,12,L,72,28
1,13,M,18,83
1,14,N,61,47
1,15,O,84,72
1,16,P,27,39
1,17,Q,49,16
1,18,R,95,63
1,19,S,38,94
1,20,T,66,81
2,1,A,5,52
2,2,B,74,31
2,3,C,41,69
2,4,D,83,14
2,5,E,28,77
2,6,F,62,43
2,7,G,17,96
2,8,H,55,8
2,9,I,91,60
2,10,J,36,25
2,11,K,79,87
2,12,L,22,50
2,13,M,68,73
2,14,N,47,19
2,15,O,93,38
2,16,P,13,84
2,17,Q,58,62
2,18,R,31,7
2,19,S,86,45
2,20,T,44,91
3,1,A,9,61
3,2,B,53,37
3,3,C,77,82
3,4,D,21,14
3,5,E,65,59
3,6,F,38,93
3,7,G,82,26
3,8,H,14,48
3,9,I,47,71
3,10,J,96,5
3,11,K,30,88
3,12,L,69,42
3,13,M,57,17
3,14,N,25,75
3,15,O,88,64
3,16,P,43,30
3,17,Q,72,95
3,18,R,16,53
3,19,S,61,79
3,20,T,34,22
4,1,A,19,38
4,2,B,81,55
4,3,C,46,92
4,4,D,7,73
4,5,E,64,18
4,6,F,52,86
4,7,G,93,41
4,8,H,29,67
4,9,I,75,24
4,10,J,41,99
4,11,K,87,57
4,12,L,15,44
4,13,M,60,13
4,14,N,33,80
4,15,O,71,49
4,16,P,48,27
4,17,Q,24,91
4,18,R,99,72
4,19,S,55,36
4,20,T,8,58
5,1,A,37,6
5,2,B,73,83
5,3,C,18,59
5,4,D,91,27
5,5,E,44,74
5,6,F,62,15
5,7,G,26,88
5,8,H,85,50
5,9,I,51,32
5,10,J,14,97
5,11,K,78,66
5,12,L,39,43
5,13,M,67,91
5,14,N,22,20
5,15,O,95,78
5,16,P,57,53
5,17,Q,31,11
5,18,R,84,38
5,19,S,46,85
5,20,T,69,24
6,1,A,3,71
6,2,B,58,48
6,3,C,82,17
6,4,D,27,93
6,5,E,71,62
6,6,F,45,29
6,7,G,16,85
6,8,H,89,54
6,9,I,33,40
6,10,J,76,98
6,11,K,50,7
6,12,L,94,33
6,13,M,21,66
6,14,N,63,89
6,15,O,39,52
6,16,P,86,75
6,17,Q,12,18
6,18,R,55,44
6,19,S,78,31
6,20,T,29,77
7,1,A,48,9
7,2,B,91,76
7,3,C,25,53
7,4,D,67,32
7,5,E,14,87
7,6,F,83,61
7,7,G,36,28
7,8,H,72,95
7,9,I,59,14
7,10,J,18,70
7,11,K,94,47
7,12,L,43,83
7,13,M,77,20
7,14,N,31,96
7,15,O,65,55
7,16,P,8,39
7,17,Q,87,73
7,18,R,52,18
7,19,S,27,64
7,20,T,96,30
8,1,A,6,84
8,2,B,49,27
8,3,C,88,63
8,4,D,31,49
8,5,E,75,16
8,6,F,22,91
8,7,G,61,78
8,8,H,97,35
8,9,I,38,57
8,10,J,83,89
8,11,K,17,23
8,12,L,54,72
8,13,M,70,41
8,14,N,26,68
8,15,O,92,54
8,16,P,45,13
8,17,Q,79,98
8,18,R,11,46
8,19,S,66,30
8,20,T,33,85
9,1,A,55,19
9,2,B,89,74
9,3,C,23,47
9,4,D,71,38
9,5,E,40,92
9,6,F,16,61
9,7,G,84,25
9,8,H,50,86
9,9,I,7,33
9,10,J,76,57
9,11,K,34,78
9,12,L,62,11
9,13,M,28,95
9,14,N,97,50
9,15,O,45,67
9,16,P,81,22
9,17,Q,19,53
9,18,R,58,39
9,19,S,93,83
9,20,T,37,14
10,1,A,44,73
10,2,B,78,28
10,3,C,11,56
10,4,D,62,91
10,5,E,29,17
10,6,F,95,44
10,7,G,53,82
10,8,H,36,31
10,9,I,88,67
10,10,J,21,48
10,11,K,74,13
10,12,L,48,97
10,13,M,15,79
10,14,N,83,39
10,15,O,57,25
10,16,P,32,62
10,17,Q,91,86
10,18,R,66,52
10,19,S,24,35
10,20,T,79,71
